#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
MAFB,PAX4,9606.ENSP00000362410,9606.ENSP00000339906,0,0,0,0,0,0.058,0,0.615,0.622
MAFB,JUN,9606.ENSP00000362410,9606.ENSP00000360266,0,0,0,0,0.089,0.464,0.8,0.541,0.949
MAFB,HIST1H2BJ,9606.ENSP00000362410,9606.ENSP00000476136,0,0,0,0,0,0,0.6,0,0.6
MAPK7,DUSP3,9606.ENSP00000311005,9606.ENSP00000226004,0,0,0,0,0,0.244,0.9,0.205,0.934
MAPK7,JUN,9606.ENSP00000311005,9606.ENSP00000360266,0,0,0,0,0.062,0.213,0,0.688,0.75
MOB1A,PPP2R2B,9606.ENSP00000379364,9606.ENSP00000377936,0,0,0,0,0.062,0.33,0,0.189,0.445
MRPL16,ACO2,9606.ENSP00000300151,9606.ENSP00000216254,0,0,0,0,0.064,0.727,0,0.061,0.739
MRPL16,MRPL17,9606.ENSP00000300151,9606.ENSP00000288937,0.154,0,0,0,0.51,0.986,0.8,0.201,0.998
MRPL16,RPL26L1,9606.ENSP00000300151,9606.ENSP00000428223,0.077,0,0,0,0.308,0.345,0,0.143,0.593
MRPL16,RPL37A,9606.ENSP00000300151,9606.ENSP00000418082,0,0,0,0,0.43,0.398,0,0.252,0.721
MRPL16,MRPS11,9606.ENSP00000300151,9606.ENSP00000317376,0.093,0,0,0,0.528,0.868,0,0.431,0.963
MRPL16,MRPL22,9606.ENSP00000300151,9606.ENSP00000431040,0.073,0,0,0,0.398,0.993,0.8,0.14,0.999
MRPL17,ACO2,9606.ENSP00000288937,9606.ENSP00000216254,0,0,0,0,0.112,0.551,0,0,0.584
MRPL17,UROD,9606.ENSP00000288937,9606.ENSP00000246337,0,0,0,0,0.476,0,0,0,0.476
MRPL17,PRPS1,9606.ENSP00000288937,9606.ENSP00000361512,0,0,0.344,0,0.123,0,0,0,0.4
MRPL17,HADHA,9606.ENSP00000288937,9606.ENSP00000370023,0,0,0,0,0.095,0.351,0,0.15,0.457
MRPL17,RPL26L1,9606.ENSP00000288937,9606.ENSP00000428223,0.185,0,0,0,0.566,0.542,0,0.253,0.863
MRPL17,MRPS11,9606.ENSP00000288937,9606.ENSP00000317376,0.219,0,0,0,0.696,0.921,0,0.297,0.985
MRPL17,MRPL16,9606.ENSP00000288937,9606.ENSP00000300151,0.154,0,0,0,0.51,0.986,0.8,0.201,0.998
MRPL17,MRPL22,9606.ENSP00000288937,9606.ENSP00000431040,0.167,0,0,0,0.735,0.994,0.8,0.432,0.999
MRPL22,ACO2,9606.ENSP00000431040,9606.ENSP00000216254,0,0,0,0,0.077,0.551,0,0.053,0.573
MRPL22,MRPL17,9606.ENSP00000431040,9606.ENSP00000288937,0.167,0,0,0,0.735,0.994,0.8,0.432,0.999
MRPL22,MRPL16,9606.ENSP00000431040,9606.ENSP00000300151,0.073,0,0,0,0.398,0.993,0.8,0.14,0.999
MRPL22,MRPS11,9606.ENSP00000431040,9606.ENSP00000317376,0.111,0,0,0,0.49,0.88,0,0.302,0.957
MRPL22,RPL37A,9606.ENSP00000431040,9606.ENSP00000418082,0,0,0,0,0.497,0.525,0,0.217,0.796
MRPL22,RPL26L1,9606.ENSP00000431040,9606.ENSP00000428223,0.081,0,0,0,0.761,0.348,0,0.154,0.863
MRPS11,EIF2S1,9606.ENSP00000317376,9606.ENSP00000256383,0,0,0,0,0.14,0.369,0,0,0.434
MRPS11,MRPL17,9606.ENSP00000317376,9606.ENSP00000288937,0.219,0,0,0,0.696,0.921,0,0.297,0.985
MRPS11,MRPL16,9606.ENSP00000317376,9606.ENSP00000300151,0.093,0,0,0,0.528,0.868,0,0.431,0.963
MRPS11,RPL26L1,9606.ENSP00000317376,9606.ENSP00000428223,0.135,0,0,0,0.473,0.379,0,0.201,0.743
MRPS11,RPL37A,9606.ENSP00000317376,9606.ENSP00000418082,0,0,0,0,0.654,0.615,0,0.143,0.875
MRPS11,MRPL22,9606.ENSP00000317376,9606.ENSP00000431040,0.111,0,0,0,0.49,0.88,0,0.302,0.957
MTMR6,VAC14,9606.ENSP00000371221,9606.ENSP00000261776,0,0,0,0,0.104,0,0,0.437,0.474
NASP,UBR7,9606.ENSP00000255120,9606.ENSP00000013070,0,0,0,0,0.207,0,0,0.656,0.716
NASP,POLE2,9606.ENSP00000255120,9606.ENSP00000216367,0,0,0,0,0.47,0,0,0.098,0.501
NASP,GTF2H3,9606.ENSP00000255120,9606.ENSP00000445162,0,0,0,0,0.064,0,0,0.404,0.418
NASP,SNX1,9606.ENSP00000255120,9606.ENSP00000261889,0,0,0,0,0,0.484,0,0,0.484
NASP,BUB1,9606.ENSP00000255120,9606.ENSP00000302530,0,0,0,0,0.555,0.122,0,0.169,0.647
NDUFA2,NDUFAF3,9606.ENSP00000252102,9606.ENSP00000323076,0,0,0,0,0.105,0,0.6,0.434,0.779
NDUFA2,NDUFB8,9606.ENSP00000252102,9606.ENSP00000299166,0,0,0,0,0.943,0.988,0.9,0.722,0.999
NDUFAF3,NDUFA2,9606.ENSP00000323076,9606.ENSP00000252102,0,0,0,0,0.105,0,0.6,0.434,0.779
NDUFAF3,NDUFB8,9606.ENSP00000323076,9606.ENSP00000299166,0,0,0,0,0.104,0,0.6,0.369,0.754
NDUFB8,ACO2,9606.ENSP00000299166,9606.ENSP00000216254,0,0,0,0,0.107,0,0,0.505,0.539
NDUFB8,NDUFA2,9606.ENSP00000299166,9606.ENSP00000252102,0,0,0,0,0.943,0.988,0.9,0.722,0.999
NDUFB8,RPL26L1,9606.ENSP00000299166,9606.ENSP00000428223,0,0,0,0,0.135,0,0,0.364,0.427
NDUFB8,ATP5G2,9606.ENSP00000299166,9606.ENSP00000377878,0,0,0,0,0.266,0,0,0.39,0.534
NDUFB8,NDUFAF3,9606.ENSP00000299166,9606.ENSP00000323076,0,0,0,0,0.104,0,0.6,0.369,0.754
NFKB2,CYP2C9,9606.ENSP00000358983,9606.ENSP00000260682,0,0,0,0,0,0.056,0,0.539,0.546
NFKB2,UBE2I,9606.ENSP00000358983,9606.ENSP00000348056,0,0,0,0,0,0.118,0.9,0.135,0.917
NFKB2,ESR1,9606.ENSP00000358983,9606.ENSP00000405330,0,0,0,0,0,0.078,0,0.386,0.41
NFKB2,CYLD,9606.ENSP00000358983,9606.ENSP00000392025,0,0,0,0,0,0.06,0,0.528,0.537
NFKB2,JUN,9606.ENSP00000358983,9606.ENSP00000360266,0,0,0,0,0.063,0,0,0.58,0.59
NR0B2,UFD1L,9606.ENSP00000254227,9606.ENSP00000263202,0,0,0,0,0,0,0,0.435,0.435
NR0B2,SMAD2,9606.ENSP00000254227,9606.ENSP00000262160,0,0,0,0,0,0.069,0,0.453,0.469
NR0B2,JUN,9606.ENSP00000254227,9606.ENSP00000360266,0,0,0,0,0,0.066,0,0.762,0.768
NR0B2,ESR1,9606.ENSP00000254227,9606.ENSP00000405330,0,0,0,0,0.06,0.501,0.9,0.638,0.98
NRF1,EIF2S1,9606.ENSP00000376924,9606.ENSP00000256383,0,0,0,0,0.049,0,0,0.645,0.647
NUP85,UBE2I,9606.ENSP00000245544,9606.ENSP00000348056,0,0,0,0,0.086,0.58,0.6,0.234,0.866
NUP85,HSPA6,9606.ENSP00000245544,9606.ENSP00000310219,0,0,0,0,0,0,0.9,0.043,0.9
NUP85,SNUPN,9606.ENSP00000245544,9606.ENSP00000454852,0,0,0,0,0.063,0,0.9,0,0.902
PAX4,MAFB,9606.ENSP00000339906,9606.ENSP00000362410,0,0,0,0,0,0.058,0,0.615,0.622
PDK1,ACO2,9606.ENSP00000376352,9606.ENSP00000216254,0,0,0,0,0.062,0.207,0,0.309,0.441
PDK1,PFKFB4,9606.ENSP00000376352,9606.ENSP00000232375,0.044,0,0,0,0.138,0,0,0.445,0.502
PDK1,CPT1A,9606.ENSP00000376352,9606.ENSP00000265641,0,0,0,0,0.062,0,0,0.388,0.402
PDK1,CA9,9606.ENSP00000376352,9606.ENSP00000367608,0,0,0,0,0.085,0,0,0.479,0.503
PDK1,ALDOA,9606.ENSP00000376352,9606.ENSP00000378669,0,0,0,0,0.082,0,0,0.505,0.526
PFKFB4,ALDOA,9606.ENSP00000232375,9606.ENSP00000378669,0.044,0,0,0,0.066,0,0,0.433,0.449
PFKFB4,PDK1,9606.ENSP00000232375,9606.ENSP00000376352,0.044,0,0,0,0.138,0,0,0.445,0.502
PFKFB4,PRKAA1,9606.ENSP00000232375,9606.ENSP00000346148,0,0,0,0,0.062,0.057,0.6,0.139,0.654
POLE2,NASP,9606.ENSP00000216367,9606.ENSP00000255120,0,0,0,0,0.47,0,0,0.098,0.501
POLE2,UBE2I,9606.ENSP00000216367,9606.ENSP00000348056,0,0,0,0,0.064,0,0,0.512,0.524
POLE2,GTF2H3,9606.ENSP00000216367,9606.ENSP00000445162,0,0,0,0,0.064,0,0.6,0.114,0.639
POLE2,ERCC3,9606.ENSP00000216367,9606.ENSP00000285398,0,0,0,0,0.062,0,0.6,0.175,0.663
POLE2,BUB1,9606.ENSP00000216367,9606.ENSP00000302530,0,0,0,0,0.772,0,0,0.338,0.842
POU2F2,RABAC1,9606.ENSP00000431603,9606.ENSP00000222008,0,0,0,0,0,0,0,0.493,0.493
POU2F2,CCNT2,9606.ENSP00000431603,9606.ENSP00000264157,0,0,0,0,0,0,0.6,0.223,0.676
POU2F2,ZFHX2,9606.ENSP00000431603,9606.ENSP00000413418,0,0,0,0,0,0.067,0,0.58,0.591
PPP2R2B,MOB1A,9606.ENSP00000377936,9606.ENSP00000379364,0,0,0,0,0.062,0.33,0,0.189,0.445
PPP6R2,TBC1D9B,9606.ENSP00000478417,9606.ENSP00000349291,0,0,0,0,0.085,0.057,0,0.374,0.413
PRKAA1,PFKFB4,9606.ENSP00000346148,9606.ENSP00000232375,0,0,0,0,0.062,0.057,0.6,0.139,0.654
PRKAA1,CPT1A,9606.ENSP00000346148,9606.ENSP00000265641,0,0,0,0,0,0,0,0.51,0.51
PRKAA1,ZBTB20,9606.ENSP00000346148,9606.ENSP00000419153,0,0,0,0,0.062,0.117,0,0.42,0.477
PRPS1,MRPL17,9606.ENSP00000361512,9606.ENSP00000288937,0,0,0.344,0,0.123,0,0,0,0.4
PRPS1,FARSA,9606.ENSP00000361512,9606.ENSP00000320309,0,0,0,0,0.238,0.272,0,0.048,0.426
PRRC2C,TMEM208,9606.ENSP00000343629,9606.ENSP00000305892,0,0,0,0,0,0,0,0.474,0.474
PRRC2C,JUN,9606.ENSP00000343629,9606.ENSP00000360266,0,0,0,0,0,0,0,0.467,0.467
PRRC2C,YTHDF1,9606.ENSP00000343629,9606.ENSP00000359364,0,0,0,0,0.061,0.28,0,0.332,0.509
PRRC2C,SETD5,9606.ENSP00000343629,9606.ENSP00000385852,0,0,0,0,0.596,0,0,0,0.596
PRRC2C,KMT2A,9606.ENSP00000343629,9606.ENSP00000436786,0,0,0,0,0.829,0,0,0.054,0.832
PSME3,SF3A3,9606.ENSP00000293362,9606.ENSP00000362110,0,0,0,0,0.232,0.272,0,0,0.417
RABAC1,POU2F2,9606.ENSP00000222008,9606.ENSP00000431603,0,0,0,0,0,0,0,0.493,0.493
RANBP6,TNPO2,9606.ENSP00000259569,9606.ENSP00000407182,0,0,0,0.544,0.153,0.167,0,0.479,0.417
RANBP6,ZFR,9606.ENSP00000259569,9606.ENSP00000265069,0,0,0,0,0.072,0,0,0.448,0.466
RC3H2,FAM120A,9606.ENSP00000362774,9606.ENSP00000277165,0,0,0,0,0.054,0.651,0,0,0.655
RC3H2,YTHDF1,9606.ENSP00000362774,9606.ENSP00000359364,0,0,0,0,0,0.606,0,0,0.606
RC3H2,SMG7,9606.ENSP00000362774,9606.ENSP00000425133,0,0,0,0,0.062,0.408,0,0.057,0.431
REEP2,AP4S1,9606.ENSP00000367590,9606.ENSP00000216366,0,0,0,0,0.065,0,0,0.392,0.407
RNF7,CAND2,9606.ENSP00000273480,9606.ENSP00000387641,0,0,0,0,0,0.056,0,0.391,0.4
RNF7,UBE2I,9606.ENSP00000273480,9606.ENSP00000348056,0,0,0,0,0.133,0.243,0,0.161,0.401
RNF7,UBE2L3,9606.ENSP00000273480,9606.ENSP00000400906,0,0,0,0,0.062,0.423,0,0.497,0.704
RPL26L1,MRPL17,9606.ENSP00000428223,9606.ENSP00000288937,0.185,0,0,0,0.566,0.542,0,0.253,0.863
RPL26L1,NDUFB8,9606.ENSP00000428223,9606.ENSP00000299166,0,0,0,0,0.135,0,0,0.364,0.427
RPL26L1,MRPL16,9606.ENSP00000428223,9606.ENSP00000300151,0.077,0,0,0,0.308,0.345,0,0.143,0.593
RPL26L1,MRPS11,9606.ENSP00000428223,9606.ENSP00000317376,0.135,0,0,0,0.473,0.379,0,0.201,0.743
RPL26L1,RPL37A,9606.ENSP00000428223,9606.ENSP00000418082,0,0,0.303,0,0.83,0.808,0,0.341,0.983
RPL26L1,MRPL22,9606.ENSP00000428223,9606.ENSP00000431040,0.081,0,0,0,0.761,0.348,0,0.154,0.863
RPL37A,EIF2S1,9606.ENSP00000418082,9606.ENSP00000256383,0,0,0,0,0.394,0,0,0.052,0.401
RPL37A,MRPL16,9606.ENSP00000418082,9606.ENSP00000300151,0,0,0,0,0.43,0.398,0,0.252,0.721
RPL37A,MRPS11,9606.ENSP00000418082,9606.ENSP00000317376,0,0,0,0,0.654,0.615,0,0.143,0.875
RPL37A,RPP40,9606.ENSP00000418082,9606.ENSP00000369391,0,0,0,0,0.092,0,0,0.593,0.615
RPL37A,MRPL22,9606.ENSP00000418082,9606.ENSP00000431040,0,0,0,0,0.497,0.525,0,0.217,0.796
RPL37A,RPL26L1,9606.ENSP00000418082,9606.ENSP00000428223,0,0,0.303,0,0.83,0.808,0,0.341,0.983
RPP40,RPL37A,9606.ENSP00000369391,9606.ENSP00000418082,0,0,0,0,0.092,0,0,0.593,0.615
SAE1,UBE2I,9606.ENSP00000270225,9606.ENSP00000348056,0.045,0,0,0,0.149,0.971,0.9,0.972,0.999
SCARB2,GOSR2,9606.ENSP00000264896,9606.ENSP00000225567,0,0,0,0,0,0,0,0.706,0.706
SETD5,PRRC2C,9606.ENSP00000385852,9606.ENSP00000343629,0,0,0,0,0.596,0,0,0,0.596
SETD5,KMT2A,9606.ENSP00000385852,9606.ENSP00000436786,0,0,0,0.54,0.826,0.157,0,0.444,0.876
SF3A3,U2AFBP,9606.ENSP00000362110,9606.ENSP00000291552,0,0,0,0,0.064,0.213,0,0.512,0.609
SF3A3,PSME3,9606.ENSP00000362110,9606.ENSP00000293362,0,0,0,0,0.232,0.272,0,0,0.417
SF3A3,DDX23,9606.ENSP00000362110,9606.ENSP00000310723,0,0,0,0,0.153,0.851,0,0.367,0.914
SF3A3,EIF4G1,9606.ENSP00000362110,9606.ENSP00000416255,0,0,0,0,0.121,0.494,0,0.128,0.578
SHQ1,COPS8,9606.ENSP00000315182,9606.ENSP00000346340,0,0,0,0,0,0,0,0.45,0.45
SLC39A2,ZFHX2,9606.ENSP00000298681,9606.ENSP00000413418,0,0,0,0,0,0,0,0.698,0.698
SLC6A2,ZFR,9606.ENSP00000219833,9606.ENSP00000265069,0,0,0,0,0,0,0,0.447,0.447
SLC6A5,TACR1,9606.ENSP00000434364,9606.ENSP00000303522,0,0,0,0,0.062,0,0,0.414,0.426
SLC6A5,CHAT,9606.ENSP00000434364,9606.ENSP00000337103,0,0,0,0,0.064,0,0,0.469,0.482
SMAD2,LOX,9606.ENSP00000262160,9606.ENSP00000231004,0,0,0,0,0,0,0,0.459,0.459
SMAD2,NR0B2,9606.ENSP00000262160,9606.ENSP00000254227,0,0,0,0,0,0.069,0,0.453,0.469
SMAD2,GDF11,9606.ENSP00000262160,9606.ENSP00000257868,0,0,0,0,0.052,0.183,0,0.75,0.79
SMAD2,KLC1,9606.ENSP00000262160,9606.ENSP00000414982,0,0,0,0,0.062,0.057,0,0.457,0.478
SMAD2,GDF2,9606.ENSP00000262160,9606.ENSP00000463051,0,0,0,0,0,0.148,0,0.605,0.649
SMAD2,CCNT2,9606.ENSP00000262160,9606.ENSP00000264157,0,0,0,0,0.062,0,0.9,0,0.902
SMAD2,ESR1,9606.ENSP00000262160,9606.ENSP00000405330,0,0,0,0,0,0.501,0,0.812,0.903
SMAD2,JUN,9606.ENSP00000262160,9606.ENSP00000360266,0,0,0,0,0,0.688,0,0.757,0.921
SMG7,EML1,9606.ENSP00000425133,9606.ENSP00000334314,0,0,0,0,0,0.058,0,0.405,0.416
SMG7,RC3H2,9606.ENSP00000425133,9606.ENSP00000362774,0,0,0,0,0.062,0.408,0,0.057,0.431
SMG7,EIF4G1,9606.ENSP00000425133,9606.ENSP00000416255,0,0,0,0,0.099,0,0.8,0.293,0.861
SNUPN,NUP85,9606.ENSP00000454852,9606.ENSP00000245544,0,0,0,0,0.063,0,0.9,0,0.902
SNX1,FKBP15,9606.ENSP00000261889,9606.ENSP00000238256,0,0,0,0,0.094,0.058,0,0.386,0.431
SNX1,NASP,9606.ENSP00000261889,9606.ENSP00000255120,0,0,0,0,0,0.484,0,0,0.484
SNX1,CTTN,9606.ENSP00000261889,9606.ENSP00000365745,0,0,0,0,0,0.291,0,0.193,0.404
SNX1,IQGAP1,9606.ENSP00000261889,9606.ENSP00000268182,0,0,0,0,0.063,0,0,0.457,0.47
TACR1,SLC6A5,9606.ENSP00000303522,9606.ENSP00000434364,0,0,0,0,0.062,0,0,0.414,0.426
TACR1,CHAT,9606.ENSP00000303522,9606.ENSP00000337103,0,0,0,0,0.06,0,0,0.459,0.469
TACR1,GNAS,9606.ENSP00000303522,9606.ENSP00000360141,0,0,0,0,0,0.062,0,0.477,0.488
TACR1,UBE2I,9606.ENSP00000303522,9606.ENSP00000348056,0,0,0,0,0,0.525,0,0,0.525
TACR2,UBE2I,9606.ENSP00000362403,9606.ENSP00000348056,0,0,0,0,0,0.525,0,0,0.525
TBC1D9B,PPP6R2,9606.ENSP00000349291,9606.ENSP00000478417,0,0,0,0,0.085,0.057,0,0.374,0.413
THRB,CRX,9606.ENSP00000379904,9606.ENSP00000221996,0,0,0,0,0,0.058,0,0.545,0.553
THRB,UBE2I,9606.ENSP00000379904,9606.ENSP00000348056,0,0,0,0,0,0.296,0.9,0,0.926
TMEM208,ACTR2,9606.ENSP00000305892,9606.ENSP00000367220,0,0,0,0,0.461,0,0,0,0.461
TMEM208,PRRC2C,9606.ENSP00000305892,9606.ENSP00000343629,0,0,0,0,0,0,0,0.474,0.474
TNPO2,RANBP6,9606.ENSP00000407182,9606.ENSP00000259569,0,0,0,0.544,0.153,0.167,0,0.479,0.417
TOP1,DDX23,9606.ENSP00000354522,9606.ENSP00000310723,0,0,0,0,0.085,0.282,0,0.327,0.52
TOP1,UBE2I,9606.ENSP00000354522,9606.ENSP00000348056,0,0,0,0,0.062,0.359,0.9,0.597,0.972
TOP1,JUN,9606.ENSP00000354522,9606.ENSP00000360266,0,0,0,0,0,0.284,0,0.633,0.726
TRIM24,IQGAP1,9606.ENSP00000340507,9606.ENSP00000268182,0,0,0,0,0,0,0.6,0,0.6
TRIM24,FAM114A2,9606.ENSP00000340507,9606.ENSP00000341597,0,0,0,0,0,0,0.6,0.269,0.695
TRIM24,ESR1,9606.ENSP00000340507,9606.ENSP00000405330,0,0,0,0,0,0.875,0,0.867,0.982
U2AFBP,IKZF1,9606.ENSP00000291552,9606.ENSP00000331614,0,0,0,0,0,0.059,0,0.419,0.429
U2AFBP,GNAS,9606.ENSP00000291552,9606.ENSP00000360141,0,0,0,0,0.048,0,0,0.456,0.459
U2AFBP,SF3A3,9606.ENSP00000291552,9606.ENSP00000362110,0,0,0,0,0.064,0.213,0,0.512,0.609
UBE2I,POLE2,9606.ENSP00000348056,9606.ENSP00000216367,0,0,0,0,0.064,0,0,0.512,0.524
UBE2I,NUP85,9606.ENSP00000348056,9606.ENSP00000245544,0,0,0,0,0.086,0.58,0.6,0.234,0.866
UBE2I,UFD1L,9606.ENSP00000348056,9606.ENSP00000263202,0,0,0,0,0.063,0.078,0,0.632,0.654
UBE2I,SAE1,9606.ENSP00000348056,9606.ENSP00000270225,0.045,0,0,0,0.149,0.971,0.9,0.972,0.999
UBE2I,RNF7,9606.ENSP00000348056,9606.ENSP00000273480,0,0,0,0,0.133,0.243,0,0.161,0.401
UBE2I,ERCC3,9606.ENSP00000348056,9606.ENSP00000285398,0,0,0,0,0.062,0,0.9,0,0.902
UBE2I,TACR1,9606.ENSP00000348056,9606.ENSP00000303522,0,0,0,0,0,0.525,0,0,0.525
UBE2I,IKZF1,9606.ENSP00000348056,9606.ENSP00000331614,0,0,0,0,0,0.422,0,0.098,0.456
UBE2I,TACR2,9606.ENSP00000348056,9606.ENSP00000362403,0,0,0,0,0,0.525,0,0,0.525
UBE2I,JUN,9606.ENSP00000348056,9606.ENSP00000360266,0,0,0,0,0,0.686,0,0.678,0.894
UBE2I,GTF2H3,9606.ENSP00000348056,9606.ENSP00000445162,0,0,0,0,0.071,0,0.9,0,0.903
UBE2I,HIST1H2BJ,9606.ENSP00000348056,9606.ENSP00000476136,0,0,0,0,0.063,0.102,0.9,0.058,0.91
UBE2I,NFKB2,9606.ENSP00000348056,9606.ENSP00000358983,0,0,0,0,0,0.118,0.9,0.135,0.917
UBE2I,THRB,9606.ENSP00000348056,9606.ENSP00000379904,0,0,0,0,0,0.296,0.9,0,0.926
UBE2I,ESR1,9606.ENSP00000348056,9606.ENSP00000405330,0,0,0,0,0,0.477,0.9,0.384,0.965
UBE2I,TOP1,9606.ENSP00000348056,9606.ENSP00000354522,0,0,0,0,0.062,0.359,0.9,0.597,0.972
UBE2L3,RNF7,9606.ENSP00000400906,9606.ENSP00000273480,0,0,0,0,0.062,0.423,0,0.497,0.704
UBE2L3,CNOT4,9606.ENSP00000400906,9606.ENSP00000445508,0,0,0,0,0,0.229,0,0.436,0.547
UBE2L6,USP13,9606.ENSP00000287156,9606.ENSP00000263966,0,0,0,0,0,0.076,0,0.392,0.414
UBR7,NASP,9606.ENSP00000013070,9606.ENSP00000255120,0,0,0,0,0.207,0,0,0.656,0.716
UFD1L,NR0B2,9606.ENSP00000263202,9606.ENSP00000254227,0,0,0,0,0,0,0,0.435,0.435
UFD1L,ZER1,9606.ENSP00000263202,9606.ENSP00000291900,0,0,0,0,0,0,0,0.426,0.426
UFD1L,UBE2I,9606.ENSP00000263202,9606.ENSP00000348056,0,0,0,0,0.063,0.078,0,0.632,0.654
UFD1L,USP13,9606.ENSP00000263202,9606.ENSP00000263966,0,0,0,0,0.053,0.413,0.6,0.598,0.898
UROD,MRPL17,9606.ENSP00000246337,9606.ENSP00000288937,0,0,0,0,0.476,0,0,0,0.476
USP13,UFD1L,9606.ENSP00000263966,9606.ENSP00000263202,0,0,0,0,0.053,0.413,0.6,0.598,0.898
USP13,UBE2L6,9606.ENSP00000263966,9606.ENSP00000287156,0,0,0,0,0,0.076,0,0.392,0.414
USP13,CYLD,9606.ENSP00000263966,9606.ENSP00000392025,0,0,0,0,0,0.131,0,0.439,0.491
VAC14,MTMR6,9606.ENSP00000261776,9606.ENSP00000371221,0,0,0,0,0.104,0,0,0.437,0.474
VAMP1,GOSR2,9606.ENSP00000379602,9606.ENSP00000225567,0,0,0,0,0.103,0.247,0.54,0.283,0.747
YTHDF1,PRRC2C,9606.ENSP00000359364,9606.ENSP00000343629,0,0,0,0,0.061,0.28,0,0.332,0.509
YTHDF1,CNOT4,9606.ENSP00000359364,9606.ENSP00000445508,0,0,0,0,0.067,0.183,0,0.295,0.415
YTHDF1,RC3H2,9606.ENSP00000359364,9606.ENSP00000362774,0,0,0,0,0,0.606,0,0,0.606
ZBTB20,PRKAA1,9606.ENSP00000419153,9606.ENSP00000346148,0,0,0,0,0.062,0.117,0,0.42,0.477
ZER1,UFD1L,9606.ENSP00000291900,9606.ENSP00000263202,0,0,0,0,0,0,0,0.426,0.426
ZFHX2,SLC39A2,9606.ENSP00000413418,9606.ENSP00000298681,0,0,0,0,0,0,0,0.698,0.698
ZFHX2,POU2F2,9606.ENSP00000413418,9606.ENSP00000431603,0,0,0,0,0,0.067,0,0.58,0.591
ZFR,SLC6A2,9606.ENSP00000265069,9606.ENSP00000219833,0,0,0,0,0,0,0,0.447,0.447
ZFR,RANBP6,9606.ENSP00000265069,9606.ENSP00000259569,0,0,0,0,0.072,0,0,0.448,0.466
ZYX,CTTN,9606.ENSP00000324422,9606.ENSP00000365745,0,0,0,0,0.062,0,0,0.502,0.513
ZYX,ACTN1,9606.ENSP00000324422,9606.ENSP00000377941,0,0,0,0,0.165,0.518,0.9,0.514,0.977
