Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,,,,,,,,
NITROFEN CTD 00000346,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
Ciprofibrate CTD 00000977,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,JUN,,,,,,,,
tazarotene CTD 00003089,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
CYFLUTHRIN CTD 00002242,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
Dimaprit CTD 00007150,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,JUN,,,,,,,,
Tetrachlorodian CTD 00001882,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
Pregn-5-en-20-one, 3-hydroxy- CTD 00006610,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,
coumarin TTD 00007292,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
Doramapimod TTD 00007708,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
gemfibrozil TTD 00008191,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,JUN,,,,,,,,
Zuclomiphene TTD 00011948,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
celecoxib TTD 00002754,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
2-AMINOANTHRAQUINONE CTD 00001072,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
phthalic acid CTD 00001559,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
3-amino-1,2,4-triazole CTD 00005383,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,
fipexide CTD 00001801,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
p-Propenylanisole CTD 00000298,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
Isorhamnetin CTD 00002092,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
Brassinolide CTD 00001097,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
Fluazinam CTD 00002848,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
pentobarbital CTD 00006484,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,JUN,,,,,,,,
Lapatinib CTD 00004348,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
1,1-Bis(4-hydroxyphenyl)cyclohexane CTD 00004659,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,
Fenhexamid CTD 00004037,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
Octinoxate CTD 00003658,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
triamcinolone TTD 00011538,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
Canertinib dihydrochloride TTD 00002663,Jan-16,0.007972959,0.03839401,0,0,147.962963,714.9125872,ESR1,,,,,,,,
AT 877 CTD 00002152,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
EDTA CTD 00005888,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
tranilast CTD 00000646,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
HEXACHLOROBENZENE CTD 00006091,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
Solvent Yellow-?14 CTD 00001132,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
Stilonium iodide CTD 00003659,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
estradiol valerate CTD 00000816,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
bromocriptine TTD 00002572,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
rosmarinic acid TTD 00010688,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,UBE2I,,,,,,,,
Temsirolimus CTD 00003745,Jan-17,0.008469366,0.03839401,0,0,138.7083333,661.8190143,ESR1,,,,,,,,
Zinc sulfate CTD 00007264,2/287,0.008558263,0.03839401,0,0,17.28508772,82.29184845,JUN;UBE2I,,,,,,,,
Allococaine CTD 00005697,2/290,0.008731437,0.03839401,0,0,17.10243056,81.07963589,JUN;UBE2I,,,,,,,,
Diphenylcyclopropenone CTD 00001385,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
candesartan CTD 00002974,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
PHENOTHIAZINE CTD 00001521,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
Rubitecan CTD 00002935,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
ticlopidine CTD 00006894,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
AC1L1WKQ CTD 00007050,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
Nilotinib CTD 00004428,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,JUN,,,,,,,,
3-METHOXYCATECHOL CTD 00002662,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
N-Hydroxy phip CTD 00002510,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
amoxapine CTD 00005389,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
simvastatin TTD 00010956,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
piperine TTD 00010245,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
retinol TTD 00010558,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
loratadine TTD 00009025,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
CHEMBL199925 TTD 00003764,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
Vorinostat TTD 00011826,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
estradiol TTD 00007900,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
Alitretinoin TTD 00001891,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
teniposide TTD 00011380,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
pyrimethamine TTD 00010423,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
tranilast TTD 00011519,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
Ginsenoside Re CTD 00002168,Jan-18,0.00896555,0.03839401,0,0,130.5424837,615.4250222,ESR1,,,,,,,,
OCHRATOXIN A CTD 00001202,2/297,0.009141689,0.03839401,0,0,16.69067797,78.36123291,JUN;ESR1,,,,,,,,
Hydroxychlor CTD 00003776,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,,,,,,
p,p'-DDD CTD 00005753,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,,,,,
1,1,2,2,3,3-hexabromocyclododecane CTD 00003141,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,
probenecid CTD 00006615,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,,,,,,
prostaglandin J2 CTD 00001744,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,JUN,,,,,,,,
Methoxycamptothecin CTD 00001213,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,JUN,,,,,,,,
alprazolam CTD 00005358,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,,,,,,
albendazole TTD 00001871,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,,,,,,
raloxifene TTD 00010501,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,ESR1,,,,,,,,
selegiline CTD 00006730,Jan-19,0.009461511,0.03839401,0,0,123.2839506,574.5677164,JUN,,,,,,,,
simvastatin CTD 00007319,2/304,0.00956055,0.03839401,0,0,16.29801325,75.78755483,JUN;ESR1,,,,,,,,
17-Ethynyl estradiol CTD 00005932,2/304,0.00956055,0.03839401,0,0,16.29801325,75.78755483,JUN;ESR1,,,,,,,,
anisomycin MCF7 DOWN,2/307,0.009742684,0.03839401,0,0,16.1352459,74.72617399,UBE2I;RPL37A,,,,,,,,
Fulvestrant CTD 00002740,2/310,0.009926386,0.03839401,0,0,15.97564935,73.68862264,JUN;ESR1,,,,,,,,
mitotane,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
oxazepam,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
Medroxyprogesterone acetate,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
cypermethrin CTD 00000881,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
coumarin CTD 00001428,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
riluzole CTD 00007294,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
DIETHYL PHTHALATE CTD 00000348,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
DIBUTYLTIN DICHLORIDE CTD 00001008,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
chlordane CTD 00005630,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
2,2',4,6,6'-pentachlorobiphenyl CTD 00003860,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,JUN,,,,
TRIAMCINOLONE ACETONIDE CTD 00006922,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
trimipramine MCF7 UP,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,JUN,,,,,,,,
PROPICONAZOLE CTD 00002045,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
Lopinavir CTD 00007472,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
Pyridaben CTD 00003936,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
felodipine CTD 00007084,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
edaravone TTD 00007784,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,UBE2I,,,,,,,,
letrozole BOSS,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
Monobenzone BOSS,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
5-Aminosalicylic acid TTD 00001112,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
Flavopiridol hydrochloride TTD 00008047,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
nicardipine BOSS,Jan-20,0.009957248,0.03839401,0,0,116.7894737,538.3357754,ESR1,,,,,,,,
cimetidine PC3 DOWN,3/953,0.010059915,0.03839401,0,0,8.589473684,39.50467801,UBE2I;MRPL16;MRPL22,,,,,,,,
N-Acetyl-L-cysteine CTD 00005305,2/315,0.010236027,0.03839401,0,0,15.71645367,72.010303,JUN;ESR1,,,,,,,,
albendazole,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
phenolphthalein CTD 00007346,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
84625-61-6 CTD 00007215,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
propachlor CTD 00000586,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
artemisinin CTD 00001499,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
VERLUKAST CTD 00002469,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
CHLOROTHALONIL CTD 00000251,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
propylthiouracil CTD 00006638,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
Azinphos-methyl CTD 00005460,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
Delphinidin CTD 00000884,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,JUN,,,,,,,,
daidzein TTD 00007423,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
tamoxifen TTD 00011319,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
liothyronine TTD 00008994,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
Azinphos-methyl BOSS,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
3-methylcholanthrene BOSS,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
Axitinib BOSS,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
ethinyl estradiol TTD 00007915,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,,,
1,3,5-Tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole CTD 00003875,Jan-21,0.010452762,0.03839401,0,0,110.9444444,506.0053047,ESR1,,,,,,
8-azaguanine PC3 UP,2/323,0.010740438,0.03839401,0,0,15.31853583,69.4502492,JUN;RPL37A,,,,,,,,
pregnenolone PC3 DOWN,2/325,0.010868261,0.03839401,0,0,15.22213622,68.83310784,UBE2I;RPL37A,,,,,,,,
troglitazone,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
sodium azide CTD 00007311,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
docetaxel,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
Isotretinoin,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
aldrin CTD 00005348,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
rosmarinic acid CTD 00001891,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,UBE2I,,,,,,,,
BIFENTHRIN CTD 00003314,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
cinchocaine PC3 UP,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,RPL37A,,,,,,,,
CAPTAN CTD 00005571,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
triamcinolone CTD 00006921,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
4-aminobutyric acid CTD 00006014,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
triamterene CTD 00006923,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
griseofulvin CTD 00006055,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
3-aminobenzamide CTD 00001175,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,JUN,,,,,,,,
pyrazole BOSS,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
dimethoate CTD 00005841,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
Isotretinoin BOSS,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
mifepristone TTD 00009307,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
probenecid BOSS,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
triamcinolone BOSS,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
cholecalciferol TTD 00007153,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,ESR1,,,,,,,,
gemfibrozil BOSS,Jan-22,0.010948052,0.03839401,0,0,105.6560847,476.9942957,JUN,,,,,,,,
bisacodyl,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
diazepam,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
FLAVONE CTD 00001977,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
loratadine,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
5-Aminosalicylic acid,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
riluzole,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
bromocriptine,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
MIDAZOLAM HYDROCHLORIDE,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
6-Thioguanine,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
furosemide CTD 00006012,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
PHENANTHRENE CTD 00001483,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
6-Thioguanine CTD 00006874,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
citrinin CTD 00005677,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,JUN,,,,,,,,
CUMENE HYDROPEROXIDE CTD 00000338,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
Butyl 4-hydroxybenzoate CTD 00001781,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
Acitretin CTD 00007146,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
Clofarabine CTD 00002713,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
Flavopiridol hydrochloride BOSS,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
lonidamine CTD 00000839,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
PAPAVERINE HYDROCHLORIDE BOSS,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
apomorphine CTD 00005433,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,JUN,,,,,,,,
METHYL PARATHION CTD 00006309,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
Cladribine BOSS,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
pyrogallol TTD 00010426,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
triamterene BOSS,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
ketoconazole TTD 00008781,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
diethylstilbestrol TTD 00007572,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
quinacrine TTD 00010448,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
reserpine TTD 00010547,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
630-60-4 TTD 00001253,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
GNF-PF-3832 TTD 00008267,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
Chlorhexidine diacetate BOSS,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
triamterene TTD 00011539,Jan-23,0.01144312,0.03839401,0,0,100.8484848,450.8296991,ESR1,,,,,,,,
medrysone HL60 UP,2/341,0.011915429,0.03839401,0,0,14.49188791,64.19792087,RPL37A;ESR1,,,,,,,,
strophanthidin HL60 DOWN,2/341,0.011915429,0.03839401,0,0,14.49188791,64.19792087,UBE2I;MRPL17,,,,,,,,
felodipine,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
haloprogin,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
prazepam,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
liothyronine,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
MLS003115428 CTD 00005749,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
DACTINOMYCIN,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
Pregabalin,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
CLOMIPHENE CITRATE,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
Carfilzomib,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
ETYA CTD 00007037,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,UBE2I,,,,,,,,
2H-1-Benzopyran-2-one, 7-[(3,7-dimethyl-2,6-octadienyl)oxy]- CTD 00003446,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,JUN,,,,,
fipronil CTD 00002993,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
fenbendazole CTD 00005958,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
teniposide CTD 00006838,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
celecoxib MCF7 UP,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,JUN,,,,,,,,
ifosfamide MCF7 UP,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,RPL37A,,,,,,,,
NORGESTIMATE CTD 00000907,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
tolazamide MCF7 UP,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
Everolimus CTD 00003479,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
2-Acetamidofluorene CTD 00007023,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
CI-1040 TTD 00007168,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
6-Thioguanine BOSS,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
Chlormethine hydrochloride BOSS,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
lindane BOSS,Jan-24,0.011937965,0.03839401,0,0,96.4589372,427.1232267,ESR1,,,,,,,,
triazolam,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
reserpine,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
NITAZOXANIDE,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
Dyclonine hydrochloride,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
norethindrone CTD 00006418,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
edaravone CTD 00000227,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,UBE2I,,,,,,,,
25-Hydroxycholesterol CTD 00000381,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
EMETINE CTD 00005892,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
apicidin CTD 00003381,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
ALLETHRIN CTD 00000946,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
indoprofen CTD 00006148,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
Hydroxytyrosol CTD 00000267,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,JUN,,,,,,,,
Fludioxonil CTD 00003504,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
Crystal violet CTD 00006023,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
NSC113090 CTD 00000067,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,UBE2I,,,,,,,,
CARBARYL CTD 00006737,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
Permethrin CTD 00007392,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
indoprofen TTD 00008600,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
ETHACRYNIC ACID TTD 00007910,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
podophyllotoxin TTD 00010285,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
ALENDRONATE SODIUM BOSS,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
biochanin A TTD 00002445,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,ESR1,,,,,,,,
dl-Thioctic acid TTD 00007649,Jan-25,0.012432587,0.03839401,0,0,92.43518519,405.5533029,UBE2I,,,,,,,,
atovaquone MCF7 DOWN,2/354,0.01279814,0.03839401,0,0,13.94744318,60.78930959,UBE2I;RPL37A,,,,,,,,
estradiol,Jan-26,0.012926986,0.03839401,0,0,88.73333333,385.8514207,ESR1,,,,,,,,
